Unnamed: 0,months_since_last,donation_ct,volume,months_since_first,duration,avg_ct,avg_vol
659,2,12,3000,52,50,0.24,60.0
276,21,7,1750,38,17,0.4117647058823529,102.94117647058823
263,4,1,250,4,0,-1.0,-1.0
303,11,11,2750,38,27,0.4074074074074074,101.85185185185185
83,4,12,3000,34,30,0.4,100.0
500,3,21,5250,42,39,0.5384615384615384,134.6153846153846
530,4,2,500,4,0,-1.0,-1.0
244,14,1,250,14,0,-1.0,-1.0
249,23,2,500,87,64,0.03125,7.8125
728,14,4,1000,64,50,0.08,20.0
129,13,3,750,16,3,1.0,250.0
534,11,7,1750,62,51,0.13725490196078433,34.31372549019608
317,5,11,2750,75,70,0.15714285714285714,39.285714285714285
401,4,1,250,4,0,-1.0,-1.0
696,4,4,1000,26,22,0.18181818181818182,45.45454545454545
192,11,1,250,11,0,-1.0,-1.0
176,11,6,1500,26,15,0.4,100.0
571,7,14,3500,48,41,0.34146341463414637,85.36585365853658
139,23,14,3500,93,70,0.2,50.0
423,3,4,1000,29,26,0.15384615384615385,38.46153846153846
563,2,7,1750,29,27,0.25925925925925924,64.81481481481481
56,4,6,1500,35,31,0.1935483870967742,48.38709677419355
528,5,7,1750,26,21,0.3333333333333333,83.33333333333333
101,4,1,250,4,0,-1.0,-1.0
467,2,3,750,38,36,0.08333333333333333,20.833333333333332
382,5,14,3500,86,81,0.1728395061728395,43.20987654320987
466,2,2,500,11,9,0.2222222222222222,55.55555555555556
294,14,1,250,14,0,-1.0,-1.0
512,4,3,750,16,12,0.25,62.5
659,2,12,3000,52,50,0.24,60.0
389,4,14,3500,86,82,0.17073170731707318,42.68292682926829
487,23,7,1750,88,65,0.1076923076923077,26.923076923076923
701,2,1,250,2,0,-1.0,-1.0
419,4,7,1750,58,54,0.12962962962962962,32.407407407407405
536,4,2,500,41,37,0.05405405405405406,13.513513513513514
240,11,7,1750,29,18,0.3888888888888889,97.22222222222223
508,2,2,500,41,39,0.05128205128205128,12.820512820512821
515,14,1,250,14,0,-1.0,-1.0
283,4,6,1500,28,24,0.25,62.5
650,4,1,250,4,0,-1.0,-1.0
65,2,2,500,4,2,1.0,250.0
228,16,6,1500,35,19,0.3157894736842105,78.94736842105263
741,16,6,1500,81,65,0.09230769230769231,23.076923076923077
297,2,5,1250,26,24,0.20833333333333334,52.083333333333336
464,14,3,750,31,17,0.17647058823529413,44.11764705882353
63,2,1,250,2,0,-1.0,-1.0
231,4,4,1000,14,10,0.4,100.0
28,14,3,750,35,21,0.14285714285714285,35.714285714285715
248,14,1,250,14,0,-1.0,-1.0
357,14,5,1250,28,14,0.35714285714285715,89.28571428571429
300,2,14,3500,57,55,0.2545454545454545,63.63636363636363
726,5,24,6000,79,74,0.32432432432432434,81.08108108108108
680,14,4,1000,23,9,0.4444444444444444,111.11111111111111
520,4,6,1500,39,35,0.17142857142857143,42.857142857142854
254,23,2,500,38,15,0.13333333333333333,33.333333333333336
582,11,8,2000,52,41,0.1951219512195122,48.78048780487805
143,2,7,1750,77,75,0.09333333333333334,23.333333333333332
98,4,5,1250,11,7,0.7142857142857143,178.57142857142858
1,2,4,1000,35,33,0.12121212121212122,30.303030303030305
221,2,15,3750,64,62,0.24193548387096775,60.483870967741936
352,4,1,250,4,0,-1.0,-1.0
64,11,2,500,38,27,0.07407407407407407,18.51851851851852
138,12,15,3750,71,59,0.2542372881355932,63.559322033898304
745,2,13,3250,76,74,0.17567567567567569,43.91891891891892
64,11,2,500,38,27,0.07407407407407407,18.51851851851852
688,16,2,500,27,11,0.18181818181818182,45.45454545454545
623,9,4,1000,65,56,0.07142857142857142,17.857142857142858
289,21,16,4000,64,43,0.37209302325581395,93.02325581395348
174,7,10,2500,47,40,0.25,62.5
690,4,1,250,4,0,-1.0,-1.0
105,11,5,1250,35,24,0.20833333333333334,52.083333333333336
427,16,4,1000,23,7,0.5714285714285714,142.85714285714286
48,38,1,250,38,0,-1.0,-1.0
14,4,1,250,4,0,-1.0,-1.0
657,23,4,1000,52,29,0.13793103448275862,34.48275862068966
301,11,7,1750,64,53,0.1320754716981132,33.0188679245283
455,14,3,750,28,14,0.21428571428571427,53.57142857142857
579,4,11,2750,78,74,0.14864864864864866,37.16216216216216
722,16,4,1000,33,17,0.23529411764705882,58.8235294117647
98,4,5,1250,11,7,0.7142857142857143,178.57142857142858
491,38,1,250,38,0,-1.0,-1.0
303,11,11,2750,38,27,0.4074074074074074,101.85185185185185
466,2,2,500,11,9,0.2222222222222222,55.55555555555556
65,2,2,500,4,2,1.0,250.0
300,2,14,3500,57,55,0.2545454545454545,63.63636363636363
9,21,1,250,21,0,-1.0,-1.0
622,11,1,250,11,0,-1.0,-1.0
323,16,2,500,26,10,0.2,50.0
289,21,16,4000,64,43,0.37209302325581395,93.02325581395348
568,2,4,1000,26,24,0.16666666666666666,41.666666666666664
290,4,1,250,4,0,-1.0,-1.0
156,4,2,500,52,48,0.041666666666666664,10.416666666666666
464,14,3,750,31,17,0.17647058823529413,44.11764705882353
426,16,2,500,16,0,-1.0,-1.0
306,16,11,2750,40,24,0.4583333333333333,114.58333333333333
4,11,11,2750,42,31,0.3548387096774194,88.70967741935483
12,4,5,1250,23,19,0.2631578947368421,65.78947368421052
187,11,12,3000,58,47,0.2553191489361702,63.829787234042556
406,23,8,2000,64,41,0.1951219512195122,48.78048780487805
96,4,2,500,4,0,-1.0,-1.0
509,2,1,250,2,0,-1.0,-1.0
733,11,6,1500,58,47,0.1276595744680851,31.914893617021278
548,21,3,750,35,14,0.21428571428571427,53.57142857142857
478,7,5,1250,35,28,0.17857142857142858,44.642857142857146
501,11,2,500,16,5,0.4,100.0
127,2,4,1000,11,9,0.4444444444444444,111.11111111111111
199,15,16,4000,82,67,0.23880597014925373,59.701492537313435
299,2,10,2500,49,47,0.2127659574468085,53.191489361702125
162,4,1,250,4,0,-1.0,-1.0
235,16,3,750,21,5,0.6,150.0
23,9,2,500,16,7,0.2857142857142857,71.42857142857143
473,4,1,250,4,0,-1.0,-1.0
487,23,7,1750,88,65,0.1076923076923077,26.923076923076923
683,4,8,2000,28,24,0.3333333333333333,83.33333333333333
303,11,11,2750,38,27,0.4074074074074074,101.85185185185185
309,23,3,750,48,25,0.12,30.0
569,23,1,250,23,0,-1.0,-1.0
34,4,7,1750,28,24,0.2916666666666667,72.91666666666667
686,4,16,4000,38,34,0.47058823529411764,117.6470588235294
84,2,2,500,23,21,0.09523809523809523,23.80952380952381
733,11,6,1500,58,47,0.1276595744680851,31.914893617021278
537,4,9,2250,26,22,0.4090909090909091,102.27272727272727
181,11,4,1000,34,23,0.17391304347826086,43.47826086956522
453,0,26,6500,76,76,0.34210526315789475,85.52631578947368
67,2,10,2500,52,50,0.2,50.0
161,2,16,4000,81,79,0.20253164556962025,50.63291139240506
307,4,6,1500,46,42,0.14285714285714285,35.714285714285715
703,11,2,500,11,0,-1.0,-1.0
181,11,4,1000,34,23,0.17391304347826086,43.47826086956522
246,14,2,500,14,0,-1.0,-1.0
316,3,5,1250,26,23,0.21739130434782608,54.34782608695652
278,11,1,250,11,0,-1.0,-1.0
346,11,3,750,15,4,0.75,187.5
545,4,1,250,4,0,-1.0,-1.0
419,4,7,1750,58,54,0.12962962962962962,32.407407407407405
694,4,2,500,4,0,-1.0,-1.0
622,11,1,250,11,0,-1.0,-1.0
663,11,3,750,76,65,0.046153846153846156,11.538461538461538
262,2,13,3250,32,30,0.43333333333333335,108.33333333333333
461,2,12,3000,98,96,0.125,31.25
373,2,34,8500,77,75,0.4533333333333333,113.33333333333333
233,4,1,250,4,0,-1.0,-1.0
466,2,2,500,11,9,0.2222222222222222,55.55555555555556
207,2,7,1750,77,75,0.09333333333333334,23.333333333333332
263,4,1,250,4,0,-1.0,-1.0
16,23,1,250,23,0,-1.0,-1.0
513,23,3,750,35,12,0.25,62.5
449,4,5,1250,33,29,0.1724137931034483,43.10344827586207
429,23,3,750,62,39,0.07692307692307693,19.23076923076923
701,2,1,250,2,0,-1.0,-1.0
632,21,2,500,41,20,0.1,25.0
529,2,9,2250,22,20,0.45,112.5
245,11,9,2250,33,22,0.4090909090909091,102.27272727272727
344,16,6,1500,40,24,0.25,62.5
353,16,3,750,19,3,1.0,250.0
241,8,15,3750,77,69,0.21739130434782608,54.34782608695652
633,16,1,250,16,0,-1.0,-1.0
624,2,1,250,2,0,-1.0,-1.0
726,5,24,6000,79,74,0.32432432432432434,81.08108108108108
189,11,1,250,11,0,-1.0,-1.0
138,12,15,3750,71,59,0.2542372881355932,63.559322033898304
402,14,1,250,14,0,-1.0,-1.0
511,4,6,1500,23,19,0.3157894736842105,78.94736842105263
590,9,9,2250,16,7,1.2857142857142858,321.42857142857144
334,2,3,750,52,50,0.06,15.0
447,16,3,750,50,34,0.08823529411764706,22.058823529411764
119,2,2,500,11,9,0.2222222222222222,55.55555555555556
389,4,14,3500,86,82,0.17073170731707318,42.68292682926829
644,4,1,250,4,0,-1.0,-1.0
423,3,4,1000,29,26,0.15384615384615385,38.46153846153846
131,23,1,250,23,0,-1.0,-1.0
405,40,1,250,40,0,-1.0,-1.0
82,4,1,250,4,0,-1.0,-1.0
643,2,41,10250,98,96,0.4270833333333333,106.77083333333333
156,4,2,500,52,48,0.041666666666666664,10.416666666666666
617,21,3,750,38,17,0.17647058823529413,44.11764705882353
574,2,3,750,9,7,0.42857142857142855,107.14285714285714
272,2,12,3000,95,93,0.12903225806451613,32.25806451612903
613,11,2,500,52,41,0.04878048780487805,12.195121951219512
545,4,1,250,4,0,-1.0,-1.0
685,14,1,250,14,0,-1.0,-1.0
570,11,5,1250,33,22,0.22727272727272727,56.81818181818182
537,4,9,2250,26,22,0.4090909090909091,102.27272727272727
691,16,1,250,16,0,-1.0,-1.0
85,4,16,4000,70,66,0.24242424242424243,60.60606060606061
483,14,2,500,14,0,-1.0,-1.0
455,14,3,750,28,14,0.21428571428571427,53.57142857142857
93,11,1,250,11,0,-1.0,-1.0
744,2,1,250,2,0,-1.0,-1.0
33,14,2,500,14,0,-1.0,-1.0
321,4,23,5750,58,54,0.42592592592592593,106.48148148148148
523,6,3,750,26,20,0.15,37.5
426,16,2,500,16,0,-1.0,-1.0
196,14,2,500,29,15,0.13333333333333333,33.333333333333336
301,11,7,1750,64,53,0.1320754716981132,33.0188679245283
103,16,1,250,16,0,-1.0,-1.0
224,21,2,500,23,2,1.0,250.0
454,23,8,2000,46,23,0.34782608695652173,86.95652173913044
585,23,2,500,28,5,0.4,100.0
154,4,11,2750,64,60,0.18333333333333332,45.833333333333336
